BI00B32AF    @TTB208D       20220811181B0911741              CAVSAS 0.3X3 GY          CCN000003750000003750FN00000000020220801000003750NNE   20220719131655    1W    00000025000002843000000000032AF    HBYHVTB 000000000000UX427001
BI00B32DE    TT2083         20220721180D0203975              AVSSH 0.5F Y/R           CCN000001500000001500FN00000000020220801000001500NNM22 20220719120259    1W    00000150000000689000000000032DE    TVYEV-TV000000000000VT227060
BI00B32DE    TT208D         2022072118007704160              AVSS 1.25F G             CCN000005600000005600FN00000000020220801000005600NNE20 20220719120259    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VS227028
BI00B32DE    TT208D         20220721180D0203949              AVSSH 0.5F W/L           CCN000004500000004500FN00000000020220801000004500NNE20 20220719120259    1W    00000150000000689000000000032DE    TVYEV-TV000000000000VS227014
BI00B32DE    TT208D         20220721180D0203975              AVSSH 0.5F Y/R           CCN000003000000003000FN00000000020220801000003000NNE20 20220719120259    1W    00000150000000689000000000032DE    TVYEV-TV000000000000VS227015
BI00B32DE    TT208D         20220721180D0204149              AVSSH 1.25F W/L          CCN000006400000006400FN00000000020220801000006400NNE20 20220719120259    1W    00000080000001458000000000032DE    TVYEV-TV000000000000VS227021
BI00B32DE    TT208E         2022072118007704143              AVSS 1.25F W/B           CCN000002400000002400FN00000000020220801000002400NNE20 20220719120259    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VX227048
BI00B32DE    TT208E         20220721180D0204030              AVSSH 0.75F B            CCN000001000000001000FN00000000020220801000001000NNE20 20220719120259    1W    00000100000000934000000000032DE    TVYEV-TV000000000000VX227029
BI00A32DJ    GHT2209-1      20220721180D0204092              AVSSH 0.75F V            CCN000002000000001000FN00000000020220601000001000NNM20 20220719154536    1W    00000100000000934000000000032DJ    RBYIPLRB000000000000XH227013
BI00B32DJ    GHT2209-1      20220727180D0204092              AVSSH 0.75F V            CCN000001000000001000FN00000000020220601000001000NNM00 20220719145444    1W    00000100000000934000000000032DJ    RBYIPLRB000000000000XH227013
BI00B32E2    @WY209A        20220803181E50016ZZ              AVSSCS-S 0.5FX2 DGY/R    CCN000000300000000300FN00000000020220901000000300NNE   20220719133712    1W    00000030000003096000000000032E2    SPYSE   000000000000KX327001
BI00B32P8    TAPAW-2091     2022080318000004560              AV 8 G                   CCN000009000000009000FN00000000020220901000009000NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT327079
BI00B32P8    TAPAW-2092     2022081018000004560              AV 8 G                   CCN000006600000006600FN00000000020220901000006600NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT427099
BI00B32P8    TAPAW-2093     2022081718000004560              AV 8 G                   CCN000006700000006700FN00000000020220901000006700NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT128112
BI00B32P8    TAPAW-2094     2022082418000004560              AV 8 G                   CCN000006600000006600FN00000000020220901000006600NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT228116
BI00B32P8    TAPAW-2095     2022083118000004560              AV 8 G                   CCN000007100000007100FN00000000020220901000007100NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT328120
BI00B32P8    TAPAW-2091     2022080318000004590              AV 8 L                   CCN000016400000016400FN00000000020220901000016400NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT327080
BI00B32P8    TAPAW-2092     2022081018000004590              AV 8 L                   CCN000010200000010200FN00000000020220901000010200NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT427100
BI00B32P8    TAPAW-2093     2022081718000004590              AV 8 L                   CCN000010300000010300FN00000000020220901000010300NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT128113
BI00B32P8    TAPAW-2094     2022082418000004590              AV 8 L                   CCN000010300000010300FN00000000020220901000010300NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT228117
BI00B32P8    TAPAW-2095     2022083118000004590              AV 8 L                   CCN000011000000011000FN00000000020220901000011000NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT328121
BI00B32P8    TAPAW-2091     2022080318000004550              AV 8 R                   CCN000014700000014700FN00000000020220901000014700NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT327081
BI00B32P8    TAPAW-2092     2022081018000004550              AV 8 R                   CCN000007800000007800FN00000000020220901000007800NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT427101
BI00B32P8    TAPAW-2093     2022081718000004550              AV 8 R                   CCN000007700000007700FN00000000020220901000007700NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT128114
BI00B32P8    TAPAW-2094     2022082418000004550              AV 8 R                   CCN000007800000007800FN00000000020220901000007800NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT228118
BI00B32P8    TAPAW-2095     2022083118000004550              AV 8 R                   CCN000008700000008700FN00000000020220901000008700NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT328122
BI00B32P8    TAPAW-2091     2022080318000004540              AV 8 W                   CCN000013900000013900FN00000000020220901000013900NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT327082
BI00B32P8    TAPAW-2092     2022081018000004540              AV 8 W                   CCN000011500000011500FN00000000020220901000011500NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT427102
BI00B32P8    TAPAW-2093     2022081718000004540              AV 8 W                   CCN000011400000011400FN00000000020220901000011400NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT128115
BI00B32P8    TAPAW-2094     2022082418000004540              AV 8 W                   CCN000009700000009700FN00000000020220901000009700NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT228119
BI00B32P8    TAPAW-2095     2022083118000004540              AV 8 W                   CCN000010800000010800FN00000000020220901000010800NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT328123
BI00B32P8    TAPAW-2091     2022080318000004543              AV 8 W/B                 CCN000008000000008000FN00000000020220901000008000NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT327083
BI00B32P8    TAPAW-2092     2022081018000004543              AV 8 W/B                 CCN000005100000005100FN00000000020220901000005100NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT427103
BI00B32P8    TAPAW-2093     2022081718000004543              AV 8 W/B                 CCN000005100000005100FN00000000020220901000005100NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT128116
BI00B32P8    TAPAW-2094     2022082418000004543              AV 8 W/B                 CCN000005100000005100FN00000000020220901000005100NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT228120
BI00B32P8    TAPAW-2095     2022083118000004543              AV 8 W/B                 CCN000005100000005100FN00000000020220901000005100NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT328124
BI00B32P8    TAPAW-2091     2022080318000004570              AV 8 Y                   CCN000010100000010100FN00000000020220901000010100NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT327084
BI00B32P8    TAPAW-2092     2022081018000004570              AV 8 Y                   CCN000007400000007400FN00000000020220901000007400NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT427104
BI00B32P8    TAPAW-2093     2022081718000004570              AV 8 Y                   CCN000007400000007400FN00000000020220901000007400NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT128117
BI00B32P8    TAPAW-2094     2022082418000004570              AV 8 Y                   CCN000007300000007300FN00000000020220901000007300NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT228121
BI00B32P8    TAPAW-2095     2022083118000004570              AV 8 Y                   CCN000007400000007400FN00000000020220901000007400NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT328125
BI00B32P8    TAPAW-2092     2022081018009604034              AVS 0.85 B/W             CCN000001000000001000FN00000000020220901000001000NNM   20220719143334    1W    00000100000001167700000000032P8    YIYTM   000000000000YT427208
BI00B32P8    TAPAW-2093     2022081718009604034              AVS 0.85 B/W             CCN000001000000001000FN00000000020220901000001000NNM   20220719143334    1W    00000100000001167700000000032P8    YIYTM   000000000000YT128233
BI00B32P8    TAPAW-2094     2022082418009604034              AVS 0.85 B/W             CCN000001000000001000FN00000000020220901000001000NNM   20220719143334    1W    00000100000001167700000000032P8    YIYTM   000000000000YT228243
BI00B32P8    TAPAW-2095     2022083118009604034              AVS 0.85 B/W             CCN000001000000001000FN00000000020220901000001000NNM   20220719143334    1W    00000100000001167700000000032P8    YIYTM   000000000000YT328247
BI00B32P8    TAPAW-2093     2022081718009604037              AVS 0.85 B/Y             CCN000001000000001000FN00000000020220901000001000NNM   20220719143334    1W    00000100000001167700000000032P8    YIYTM   000000000000YT128234
BI00B32P8    TAPAW-2095     2022083118009604037              AVS 0.85 B/Y             CCN000001000000001000FN00000000020220901000001000NNM   20220719143334    1W    00000100000001167700000000032P8    YIYTM   000000000000YT328248
BI00B32P8    TAPAW-2094     20220824180096040F0              AVS 0.85 GY/B            CCN000001000000001000FN00000000020220901000001000NNM   20220719143334    1W    00000100000001167700000000032P8    YIYTM   000000000000YT228244
BI00B32P8    TAPAW-2091     2022080318007703730              AVSS 0.3F B              CCN000008000000008000FN00000000020220901000008000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT327085
BI00B32P8    TAPAW-2092     2022081018007703730              AVSS 0.3F B              CCN000004000000004000FN00000000020220901000004000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT427105
BI00B32P8    TAPAW-2093     2022081718007703730              AVSS 0.3F B              CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT128118
BI00B32P8    TAPAW-2094     2022082418007703730              AVSS 0.3F B              CCN000004000000004000FN00000000020220901000004000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT228122
BI00B32P8    TAPAW-2095     2022083118007703730              AVSS 0.3F B              CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT328126
BI00B32P8    TAPAW-2093     2022081718007703735              AVSS 0.3F B/R            CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT128119
BI00B32P8    TAPAW-2092     2022081018007703760              AVSS 0.3F G              CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT427106
BI00B32P8    TAPAW-2093     2022081718007703760              AVSS 0.3F G              CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT128120
BI00B32P8    TAPAW-2094     2022082418007703760              AVSS 0.3F G              CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT228123
BI00B32P8    TAPAW-2095     2022083118007703760              AVSS 0.3F G              CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT328127
BI00B32P8    TAPAW-2094     2022082418007703765              AVSS 0.3F G/R            CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT228124
BI00B32P8    TAPAW-2095     2022083118007703765              AVSS 0.3F G/R            CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT328128
BI00B32P8    TAPAW-2092     2022081018007703764              AVSS 0.3F G/W            CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT427107
BI00B32P8    TAPAW-2094     2022082418007703764              AVSS 0.3F G/W            CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT228125
BI00B32P8    TAPAW-2095     2022083118007703764              AVSS 0.3F G/W            CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT328129
BI00B32P8    TAPAW-2091     2022080318007703767              AVSS 0.3F G/Y            CCN000006000000006000FN00000000020220901000006000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT327086
BI00B32P8    TAPAW-2092     2022081018007703767              AVSS 0.3F G/Y            CCN000004000000004000FN00000000020220901000004000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT427108
BI00B32P8    TAPAW-2093     2022081718007703767              AVSS 0.3F G/Y            CCN000004000000004000FN00000000020220901000004000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT128121
BI00B32P8    TAPAW-2094     2022082418007703767              AVSS 0.3F G/Y            CCN000004000000004000FN00000000020220901000004000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT228126
BI00B32P8    TAPAW-2095     2022083118007703767              AVSS 0.3F G/Y            CCN000006000000006000FN00000000020220901000006000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT328130
BI00B32P8    TAPAW-2093     2022081718007703790              AVSS 0.3F L              CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT128122
BI00B32P8    TAPAW-2094     2022082418007703793              AVSS 0.3F L/B            CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT228127
BI00B32P8    TAPAW-2092     2022081018007703794              AVSS 0.3F L/W            CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT427109
BI00B32P8    TAPAW-2093     2022081718007703794              AVSS 0.3F L/W            CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT128123
BI00B32P8    TAPAW-2095     2022083118007703794              AVSS 0.3F L/W            CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT328131
BI00B32P8    TAPAW-2091     2022080318007703740              AVSS 0.3F W              CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT327087
BI00B32P8    TAPAW-2095     2022083118007703740              AVSS 0.3F W              CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT328132
BI00B32P8    TAPAW-2093     2022081718007703773              AVSS 0.3F Y/B            CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT128124
BI00B32P8    TAPAW-2093     2022081718007703776              AVSS 0.3F Y/G            CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT128125
BI00B32P8    TAPAW-2091     2022080318007703779              AVSS 0.3F Y/L            CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT327088
BI00B32P8    TAPAW-2093     2022081718007703779              AVSS 0.3F Y/L            CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT128126
BI00B32P8    TAPAW-2095     2022083118007703779              AVSS 0.3F Y/L            CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT328133
BI00B32P8    TAPAW-2091     2022080318007703775              AVSS 0.3F Y/R            CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT327089
BI00B32P8    TAPAW-2092     2022081018007703775              AVSS 0.3F Y/R            CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT427110
BI00B32P8    TAPAW-2095     2022083118007703775              AVSS 0.3F Y/R            CCN000002000000002000FN00000000020220901000002000NNM   20220719143334    1W    00000200000000496000000000032P8    YIYTM   000000000000YT328134
BI00B32P8    TAPAW-2091     2022080318007703930              AVSS 0.5F B              CCN000025500000025500FN00000000020220901000025500NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT327090
BI00B32P8    TAPAW-2092     2022081018007703930              AVSS 0.5F B              CCN000019500000019500FN00000000020220901000019500NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT427111
BI00B32P8    TAPAW-2093     2022081718007703930              AVSS 0.5F B              CCN000019500000019500FN00000000020220901000019500NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT128127
BI00B32P8    TAPAW-2094     2022082418007703930              AVSS 0.5F B              CCN000019500000019500FN00000000020220901000019500NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT228128
BI00B32P8    TAPAW-2095     2022083118007703930              AVSS 0.5F B              CCN000021000000021000FN00000000020220901000021000NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT328135
BI00B32P8    TAPAW-2091     2022080318007703936              AVSS 0.5F B/G            CCN000006000000006000FN00000000020220901000006000NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT327091
BI00B32P8    TAPAW-2092     2022081018007703936              AVSS 0.5F B/G            CCN000003000000003000FN00000000020220901000003000NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT427112
BI00B32P8    TAPAW-2093     2022081718007703936              AVSS 0.5F B/G            CCN000003000000003000FN00000000020220901000003000NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT128128
BI00B32P8    TAPAW-2094     2022082418007703936              AVSS 0.5F B/G            CCN000003000000003000FN00000000020220901000003000NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT228129
BI00B32P8    TAPAW-2095     2022083118007703936              AVSS 0.5F B/G            CCN000003000000003000FN00000000020220901000003000NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT328136
BI00B32P8    TAPAW-2091     2022080318007703939              AVSS 0.5F B/L            CCN000007500000007500FN00000000020220901000007500NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT327092
BI00B32P8    TAPAW-2092     2022081018007703939              AVSS 0.5F B/L            CCN000004500000004500FN00000000020220901000004500NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT427113
BI00B32P8    TAPAW-2093     2022081718007703939              AVSS 0.5F B/L            CCN000006000000006000FN00000000020220901000006000NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT128129
BI00B32P8    TAPAW-2094     2022082418007703939              AVSS 0.5F B/L            CCN000006000000006000FN00000000020220901000006000NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT228130
BI00B32P8    TAPAW-2095     2022083118007703939              AVSS 0.5F B/L            CCN000006000000006000FN00000000020220901000006000NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT328137
BI00B32P8    TAPAW-2091     20220803180077039A8              AVSS 0.5F B/P            CCN000033000000033000FN00000000020220901000033000NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT327093
BI00B32P8    TAPAW-2092     20220810180077039A8              AVSS 0.5F B/P            CCN000018000000018000FN00000000020220901000018000NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT427114
BI00B32P8    TAPAW-2093     20220817180077039A8              AVSS 0.5F B/P            CCN000018000000018000FN00000000020220901000018000NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT128130
BI00B32P8    TAPAW-2094     20220824180077039A8              AVSS 0.5F B/P            CCN000018000000018000FN00000000020220901000018000NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT228131
BI00B32P8    TAPAW-2095     20220831180077039A8              AVSS 0.5F B/P            CCN000016500000016500FN00000000020220901000016500NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT328138
BI00B32P8    TAPAW-2091     2022080318007703935              AVSS 0.5F B/R            CCN000004500000004500FN00000000020220901000004500NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT327094
BI00B32P8    TAPAW-2092     2022081018007703935              AVSS 0.5F B/R            CCN000004500000004500FN00000000020220901000004500NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT427115
BI00B32P8    TAPAW-2093     2022081718007703935              AVSS 0.5F B/R            CCN000004500000004500FN00000000020220901000004500NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT128131
BI00B32P8    TAPAW-2094     2022082418007703935              AVSS 0.5F B/R            CCN000003000000003000FN00000000020220901000003000NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT228132
BI00B32P8    TAPAW-2095     2022083118007703935              AVSS 0.5F B/R            CCN000004500000004500FN00000000020220901000004500NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT328139
BI00B32P8    TAPAW-2091     2022080318007703934              AVSS 0.5F B/W            CCN000006000000006000FN00000000020220901000006000NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT327095
BI00B32P8    TAPAW-2092     2022081018007703934              AVSS 0.5F B/W            CCN000006000000006000FN00000000020220901000006000NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT427116
BI00B32P8    TAPAW-2093     2022081718007703934              AVSS 0.5F B/W            CCN000006000000006000FN00000000020220901000006000NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT128132
BI00B32P8    TAPAW-2094     2022082418007703934              AVSS 0.5F B/W            CCN000006000000006000FN00000000020220901000006000NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT228133
BI00B32P8    TAPAW-2095     2022083118007703934              AVSS 0.5F B/W            CCN000006000000006000FN00000000020220901000006000NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT328140
BI00B32P8    TAPAW-2091     2022080318007703937              AVSS 0.5F B/Y            CCN000009000000009000FN00000000020220901000009000NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT327096
BI00B32P8    TAPAW-2092     2022081018007703937              AVSS 0.5F B/Y            CCN000006000000006000FN00000000020220901000006000NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT427117
BI00B32P8    TAPAW-2093     2022081718007703937              AVSS 0.5F B/Y            CCN000004500000004500FN00000000020220901000004500NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT128133
BI00B32P8    TAPAW-2094     2022082418007703937              AVSS 0.5F B/Y            CCN000006000000006000FN00000000020220901000006000NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT228134
BI00B32P8    TAPAW-2095     2022083118007703937              AVSS 0.5F B/Y            CCN000006000000006000FN00000000020220901000006000NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT328141
BI00B32P8    TAPAW-2091     2022080318007703980              AVSS 0.5F BR             CCN000003000000003000FN00000000020220901000003000NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT327097
BI00B32P8    TAPAW-2092     2022081018007703980              AVSS 0.5F BR             CCN000001500000001500FN00000000020220901000001500NNM   20220719143334    1W    00000150000000674000000000032P8    YIYTM   000000000000YT427118
