BI00B32CJ    TTQ209H        202209091801W004091              IVSSH 0.75F SB           CCN000002600000002600FN00000000020220901000002600NNE   20220822085940    1W    00000130000000882000000000032CJ    QNYHVQN 000000000000UO428001
BI00B32H2    TAW2102        20220916180D0203943              AVSSH 0.5F W/B           CCN000003000000000000FY00000000020221001000000000NNM11 20220822094502    1W    00000150000000689000000000032H2    HVYHV   000000000000UH528052
BI00B32H2    TAW2102        20221007180D0204170              AVSSH 1.25F Y            CCN000000800000000800FN00000000020221001000000800NNM21 20220822105622    1W    00000080000001458000000000032H2    HVYHV   000000000000UH528053
BI00B32H2    @TAW2103       20220923181B32102S1              AVSSCS 0.5FX2 DGY        CCN000003900000000000FY00000000020221001000000000NNM11 20220822094739    1W    00000030000002903000000000032H2    HVYHV   000000000000UH129052
BI00B32H2    @TAW2104       20220930181B32102S1              AVSSCS 0.5FX2 DGY        CCN000007200000005700FN00000000020221001000005700NNM11 20220822095033    1W    00000030000002903000000000032H2    HVYHV   000000000000UH229052
BI00B32H2    @TAW2103       20220923181D6910230              AVSSHCS 0.5FX2 B         CCN000000600000000000FY00000000020221001000000000NNM11 20220822094827    1W    00000030000002385000000000032H2    HVYHV   000000000000UH129053
BI00B32H2    @TAW2104       20220930181D6910230              AVSSHCS 0.5FX2 B         CCN000000600000000000FY00000000020221001000000000NNM11 20220822095051    1W    00000030000002385000000000032H2    HVYHV   000000000000UH229053
BI00B32H2    TAW210H        2022091618007704160              AVSS 1.25F G             CCN000000800000000800FN00000000020221001000000800NNE20 20220822115934    1W    00000080000001389000000000032H2    HVYHV   000000000000UK329002
BI00B32H2    TAW210J        2022091618007704130              AVSS 1.25F B             CCN000000800000000800FN00000000020221001000000800NNE   20220822093614    1W    00000080000001389000000000032H2    HVYHV   000000000000UK528004
BI00B32H2    TAW210J        2022091618007704143              AVSS 1.25F W/B           CCN000000800000000800FN00000000020221001000000800NNE   20220822093614    1W    00000080000001389000000000032H2    HVYHV   000000000000UK528005
BI00B32H2    @TAW210J       20220916181F21009ZZ              AVSSHCS-S 0.5FX2 B       CCN000000300000000300FN00000000020221001000000300NNE   20220822093613    1W    00000030000002531400000000032H2    HVYHV   000000000000UK528003
BI00B32H2    @TAW210J       20220916181AD2004ZZ              CIVUSAS-S 0.35X4 B       CCN000002400000002400FN00000000020221001000002400NNE   20220822093613    1W    00000030000002799900000000032H2    HVYHV   000000000000UK528002
BI00B32H2    @TAW210J       20220916181AD2025ZZ              CIVUSAS-S 0.13X4 B       CCN000001600000001600FN00000000020221001000001600NNE   20220822093613    1W    00000040000001661800000000032H2    HVYHV   000000000000UK528001
BI00B32H8    2209A MW       2022090218007703937              AVSS 0.5F B/Y            CCN000001500000001500FN00000000020220901000001500NNE20 20220822164521    1W    00000150000000674000000000032H8    TYTYC   000000000000LN428004
BI00B32M1    @TV209A        20220901181D69004ZZ              AVSSHCS 1.25FX2 B        CCN000000200000000200FN00000000020220901000000200NNE   20220822111936    1W    00000020000004357000000000032M1    VNYEV   000000000000VM328002
BI00B32M1    @TV209A        20220901181D6910235              AVSSHCS 0.5FX2 B/R       CCN000000600000000600FN00000000020220901000000600NNE   20220822111936    1W    00000030000002385000000000032M1    VNYEV   000000000000VM328001
BI00B32M1    @TV209A        20220901181F21001ZZ              AVSSHCS-S 0.3FX2 B/Y     CCN000000350000000350FN00000000020220901000000350NNE   20220822111936    1W    00000035000002034300000000032M1    VNYEV   000000000000VM328003
BI00B32M3    SM2209AHMW     2022090818007704030              AVSS 0.75F B             CCN000003000000003000FN00000000020220901000003000NNE   20220822093800    1W    00000100000000943000000000032M3    SASAMI  000000000000QI428001
BI00B32M3    SM2209AHMW     2022090818007704130              AVSS 1.25F B             CCN000001600000001600FN00000000020220901000001600NNE   20220822093800    1W    00000080000001389000000000032M3    SASAMI  000000000000QI428002
BI00B32M3    @SM2209BMMW    20220915181E50011ZZ              AVSSCS-S 0.5FX2 DGY/Y    CCN000002700000002700FN00000000020220901000002700NNE   20220822093759    1W    00000030000003096000000000032M3    SASAMI  000000000000QJ528001
BI00B32M3    SM2209C MW     2022090818007703992              AVSS 0.5F V              CCN000003000000003000FN00000000020220901000003000NNE   20220822093801    1W    00000150000000674000000000032M3    SASAMI  000000000000QF428001
BI00B32M3    SM2209C MW     2022090818007704161              AVSS 1.25F LG            CCN000000800000000800FN00000000020220901000000800NNE   20220822093801    1W    00000080000001389000000000032M3    SASAMI  000000000000QF428002
BI00B32M4    TW2103A        202209151801W006930              IVSSH 0.35F B            CCN000005000000005000FN00000000020221001000005000NNE   20220822081408    1W    00000250000000452000000000032M4    SISAI   000000000000GM528005
BI00B32M4    TW2103A        202209151801W003930              IVSSH 0.5F B             CCN000001800000001800FN00000000020221001000001800NNE   20220822081408    1W    00000180000000625000000000032M4    SISAI   000000000000GM528001
BI00B32M4    TW2103A        202209151801W003952              IVSSH 0.5F P             CCN000003600000003600FN00000000020221001000003600NNE   20220822081408    1W    00000180000000625000000000032M4    SISAI   000000000000GM528002
BI00B32M4    TW2103A        202209151801W003991              IVSSH 0.5F SB            CCN000001800000001800FN00000000020221001000001800NNE   20220822081408    1W    00000180000000625000000000032M4    SISAI   000000000000GM528003
BI00B32M4    TW2103A        202209151801W003970              IVSSH 0.5F Y             CCN000005400000005400FN00000000020221001000005400NNE   20220822081408    1W    00000180000000625000000000032M4    SISAI   000000000000GM528004
BI00B32M8    PM2209BJMW     2022090718007703903              AVSS 0.5F B/O            CCN000001500000001500FN00000000020220901000001500NNE   20220822160052    1W    00000150000000674000000000032M8    PMPEMI  000000000000ID428002
BI00B32M8    PM2209BJMW     2022090718007703939              AVSS 0.5F B/L            CCN000001500000001500FN00000000020220901000001500NNE   20220822160052    1W    00000150000000674000000000032M8    PMPEMI  000000000000ID428001
BI00B32P8    TAPAW-211A1    2022091418007703730              AVSS 0.3F B              CCN000004000000004000FN00000000020221101000004000NNE   20220822102151    1W    00000200000000496000000000032P8    YIYTM   000000000000YM528004
BI00B32P8    TAPAW-211A1    2022091418007703752              AVSS 0.3F P              CCN000002000000002000FN00000000020221101000002000NNE   20220822102151    1W    00000200000000496000000000032P8    YIYTM   000000000000YM528005
BI00B32P8    TAPAW-211A1    2022091418007703980              AVSS 0.5F BR             CCN000001500000001500FN00000000020221101000001500NNE   20220822102151    1W    00000150000000674000000000032P8    YIYTM   000000000000YM528006
BI00B32P8    TAPAW-211A1    2022091418007703991              AVSS 0.5F SB             CCN000001500000001500FN00000000020221101000001500NNE   20220822102151    1W    00000150000000674000000000032P8    YIYTM   000000000000YM528007
BI00B32P8    TAPAW-211A1    2022091418007704184              AVSS 1.25F BR/W          CCN000000800000000800FN00000000020221101000000800NNE   20220822102151    1W    00000080000001389000000000032P8    YIYTM   000000000000YM528008
BI00B32P8    TAPAW-211A1    2022091418007704143              AVSS 1.25F W/B           CCN000002400000002400FN00000000020221101000002400NNE   20220822102151    1W    00000080000001389000000000032P8    YIYTM   000000000000YM528009
BI00B32P8    TAPAW-211A1    20220914180D0204090              AVSSH 0.75F L            CCN000004000000004000FN00000000020221101000004000NNE   20220822102151    1W    00000100000000934000000000032P8    YIYTM   000000000000YM528001
BI00B32P8    TAPAW-211A1    20220914180D0204050              AVSSH 0.75F R            CCN000001000000001000FN00000000020221101000001000NNE   20220822102151    1W    00000100000000934000000000032P8    YIYTM   000000000000YM528002
BI00B32P8    TAPAW-211A1    2022091418000004580              AV 8 BR                  CCN000000900000000900FN00000000020221101000000900NNE   20220822102151    1W    00000010000010466200000000032P8    YIYTM   000000000000YM528003
BI00B32P8    TAPAW-211A1    202209141801W004230              IVSSH 2F B               CCN000011550000011550FN00000000020221101000011550NNE   20220822102151    1W    00000055000002091100000000032P8    YIYTM   000000000000YM528010
BI00B32P8    TAPAW-211A1    202209141801W004250              IVSSH 2F R               CCN000004400000004400FN00000000020221101000004400NNE   20220822102151    1W    00000055000002091100000000032P8    YIYTM   000000000000YM528011
BI00B32P8    TAPAW-211A1    202209141801W004240              IVSSH 2F W               CCN000001100000001100FN00000000020221101000001100NNE   20220822102151    1W    00000055000002091100000000032P8    YIYTM   000000000000YM528012
BI00B32P8    TAPAW-211A1    202209141801W004243              IVSSH 2F W/B             CCN000001650000001650FN00000000020221101000001650NNE   20220822102151    1W    00000055000002091100000000032P8    YIYTM   000000000000YM528013
BI00B32P8    TAPAW-2114     2022102618000004530              AV 8 B                   CCN000010700000010700FN00000000020221101000010700NNM   20220822103216    1W    00000010000010466200000000032P8    YIYTM   000000000000YT22A094
BI00B32P8    TAPAW-2113     2022101918000004560              AV 8 G                   CCN000003000000003000FN00000000020221101000003000NNM   20220822103216    1W    00000010000010466200000000032P8    YIYTM   000000000000YT12A070
BI00B32P8    TAPAW-2114     2022102618000004560              AV 8 G                   CCN000008700000008700FN00000000020221101000008700NNM   20220822103216    1W    00000010000010466200000000032P8    YIYTM   000000000000YT22A096
BI00B32P8    TAPAW-2111     2022100518000004550              AV 8 R                   CCN000003100000003100FN00000000020221101000003100NNM   20220822103216    1W    00000010000010466200000000032P8    YIYTM   000000000000YT329019
BI00B32P8    TAPAW-2112     2022101218000004550              AV 8 R                   CCN000010900000010900FN00000000020221101000010900NNM   20220822103216    1W    00000010000010466200000000032P8    YIYTM   000000000000YT429047
BI00B32P8    TAPAW-2113     2022101918000004550              AV 8 R                   CCN000010900000010900FN00000000020221101000010900NNM   20220822103216    1W    00000010000010466200000000032P8    YIYTM   000000000000YT12A072
BI00B32P8    TAPAW-2114     2022102618000004550              AV 8 R                   CCN000010900000010900FN00000000020221101000010900NNM   20220822103216    1W    00000010000010466200000000032P8    YIYTM   000000000000YT22A098
BI00B32P8    TAPAW-2111     2022100518000004540              AV 8 W                   CCN000029600000029600FN00000000020221101000029600NNM   20220822103216    1W    00000010000010466200000000032P8    YIYTM   000000000000YT329022
BI00B32P8    TAPAW-2112     2022101218000004540              AV 8 W                   CCN000015100000015100FN00000000020221101000015100NNM   20220822103216    1W    00000010000010466200000000032P8    YIYTM   000000000000YT429050
BI00B32P8    TAPAW-2113     2022101918000004540              AV 8 W                   CCN000015000000015000FN00000000020221101000015000NNM   20220822103216    1W    00000010000010466200000000032P8    YIYTM   000000000000YT12A075
BI00B32P8    TAPAW-2114     2022102618000004540              AV 8 W                   CCN000015100000015100FN00000000020221101000015100NNM   20220822103216    1W    00000010000010466200000000032P8    YIYTM   000000000000YT22A101
BI00B32P8    TAPAW-2112     2022101218009604030              AVS 0.85 B               CCN000001000000001000FN00000000020221101000001000NNM   20220822103216    1W    00000100000001167700000000032P8    YIYTM   000000000000YT429116
BI00B32P8    TAPAW-2114     2022102618009604034              AVS 0.85 B/W             CCN000001000000001000FN00000000020221101000001000NNM   20220822103216    1W    00000100000001167700000000032P8    YIYTM   000000000000YT22A214
BI00B32P8    TAPAW-2112     2022101218009604037              AVS 0.85 B/Y             CCN000001000000001000FN00000000020221101000001000NNM   20220822103216    1W    00000100000001167700000000032P8    YIYTM   000000000000YT429117
BI00B32P8    TAPAW-2114     2022102618009604037              AVS 0.85 B/Y             CCN000001000000001000FN00000000020221101000001000NNM   20220822103216    1W    00000100000001167700000000032P8    YIYTM   000000000000YT22A215
BI00B32P8    TAPAW-2111     2022100518007703730              AVSS 0.3F B              CCN000010000000010000FN00000000020221101000010000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT329024
BI00B32P8    TAPAW-2112     2022101218007703730              AVSS 0.3F B              CCN000004000000004000FN00000000020221101000004000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT429052
BI00B32P8    TAPAW-2113     2022101918007703730              AVSS 0.3F B              CCN000004000000004000FN00000000020221101000004000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT12A077
BI00B32P8    TAPAW-2114     2022102618007703730              AVSS 0.3F B              CCN000004000000004000FN00000000020221101000004000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT22A103
BI00B32P8    TAPAW-2113     2022101918007703739              AVSS 0.3F B/L            CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT12A078
BI00B32P8    TAPAW-2111     2022100518007703737              AVSS 0.3F B/Y            CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT329025
BI00B32P8    TAPAW-2111     2022100518007703760              AVSS 0.3F G              CCN000004000000004000FN00000000020221101000004000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT329026
BI00B32P8    TAPAW-2112     2022101218007703760              AVSS 0.3F G              CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT429053
BI00B32P8    TAPAW-2113     2022101918007703760              AVSS 0.3F G              CCN000004000000004000FN00000000020221101000004000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT12A079
BI00B32P8    TAPAW-2114     2022102618007703760              AVSS 0.3F G              CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT22A104
BI00B32P8    TAPAW-2111     2022100518007703765              AVSS 0.3F G/R            CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT329027
BI00B32P8    TAPAW-2112     2022101218007703765              AVSS 0.3F G/R            CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT429054
BI00B32P8    TAPAW-2113     2022101918007703765              AVSS 0.3F G/R            CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT12A080
BI00B32P8    TAPAW-2114     2022102618007703765              AVSS 0.3F G/R            CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT22A105
BI00B32P8    TAPAW-2112     2022101218007703764              AVSS 0.3F G/W            CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT429055
BI00B32P8    TAPAW-2113     2022101918007703764              AVSS 0.3F G/W            CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT12A081
BI00B32P8    TAPAW-2111     2022100518007703767              AVSS 0.3F G/Y            CCN000006000000006000FN00000000020221101000006000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT329028
BI00B32P8    TAPAW-2112     2022101218007703767              AVSS 0.3F G/Y            CCN000004000000004000FN00000000020221101000004000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT429056
BI00B32P8    TAPAW-2113     2022101918007703767              AVSS 0.3F G/Y            CCN000004000000004000FN00000000020221101000004000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT12A082
BI00B32P8    TAPAW-2114     2022102618007703767              AVSS 0.3F G/Y            CCN000006000000006000FN00000000020221101000006000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT22A106
BI00B32P8    TAPAW-2114     2022102618007703790              AVSS 0.3F L              CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT22A107
BI00B32P8    TAPAW-2112     2022101218007703793              AVSS 0.3F L/B            CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT429057
BI00B32P8    TAPAW-2114     2022102618007703793              AVSS 0.3F L/B            CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT22A108
BI00B32P8    TAPAW-2111     2022100518007703795              AVSS 0.3F L/R            CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT329029
BI00B32P8    TAPAW-2114     2022102618007703795              AVSS 0.3F L/R            CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT22A109
BI00B32P8    TAPAW-2112     2022101218007703794              AVSS 0.3F L/W            CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT429058
BI00B32P8    TAPAW-2113     2022101918007703794              AVSS 0.3F L/W            CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT12A083
BI00B32P8    TAPAW-2114     2022102618007703761              AVSS 0.3F LG             CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT22A110
BI00B32P8    TAPAW-2114     2022102618007703750              AVSS 0.3F R              CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT22A111
BI00B32P8    TAPAW-2111     2022100518007703740              AVSS 0.3F W              CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT329030
BI00B32P8    TAPAW-2113     2022101918007703740              AVSS 0.3F W              CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT12A084
BI00B32P8    TAPAW-2112     2022101218007703770              AVSS 0.3F Y              CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT429059
BI00B32P8    TAPAW-2114     2022102618007703770              AVSS 0.3F Y              CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT22A112
BI00B32P8    TAPAW-2112     2022101218007703773              AVSS 0.3F Y/B            CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT429060
BI00B32P8    TAPAW-2112     2022101218007703779              AVSS 0.3F Y/L            CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT429061
BI00B32P8    TAPAW-2114     2022102618007703779              AVSS 0.3F Y/L            CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT22A113
BI00B32P8    TAPAW-2113     2022101918007703775              AVSS 0.3F Y/R            CCN000002000000002000FN00000000020221101000002000NNM   20220822103216    1W    00000200000000496000000000032P8    YIYTM   000000000000YT12A085
BI00B32P8    TAPAW-2111     2022100518007703930              AVSS 0.5F B              CCN000001500000001500FN00000000020221101000001500NNM   20220822103216    1W    00000150000000674000000000032P8    YIYTM   000000000000YT329031
BI00B32P8    TAPAW-2112     2022101218007703930              AVSS 0.5F B              CCN000025500000025500FN00000000020221101000025500NNM   20220822103216    1W    00000150000000674000000000032P8    YIYTM   000000000000YT429062
BI00B32P8    TAPAW-2113     2022101918007703930              AVSS 0.5F B              CCN000027000000027000FN00000000020221101000027000NNM   20220822103216    1W    00000150000000674000000000032P8    YIYTM   000000000000YT12A086
BI00B32P8    TAPAW-2114     2022102618007703930              AVSS 0.5F B              CCN000025500000025500FN00000000020221101000025500NNM   20220822103216    1W    00000150000000674000000000032P8    YIYTM   000000000000YT22A114
BI00B32P8    TAPAW-2111     2022100518007703936              AVSS 0.5F B/G            CCN000003000000003000FN00000000020221101000003000NNM   20220822103216    1W    00000150000000674000000000032P8    YIYTM   000000000000YT329032
BI00B32P8    TAPAW-2112     2022101218007703936              AVSS 0.5F B/G            CCN000003000000003000FN00000000020221101000003000NNM   20220822103216    1W    00000150000000674000000000032P8    YIYTM   000000000000YT429063
BI00B32P8    TAPAW-2113     2022101918007703936              AVSS 0.5F B/G            CCN000003000000003000FN00000000020221101000003000NNM   20220822103216    1W    00000150000000674000000000032P8    YIYTM   000000000000YT12A087
BI00B32P8    TAPAW-2114     2022102618007703936              AVSS 0.5F B/G            CCN000004500000004500FN00000000020221101000004500NNM   20220822103216    1W    00000150000000674000000000032P8    YIYTM   000000000000YT22A115
BI00B32P8    TAPAW-2113     2022101918007703939              AVSS 0.5F B/L            CCN000006000000006000FN00000000020221101000006000NNM   20220822103216    1W    00000150000000674000000000032P8    YIYTM   000000000000YT12A088
BI00B32P8    TAPAW-2114     2022102618007703939              AVSS 0.5F B/L            CCN000006000000006000FN00000000020221101000006000NNM   20220822103216    1W    00000150000000674000000000032P8    YIYTM   000000000000YT22A116
BI00B32P8    TAPAW-2111     20221005180077039A8              AVSS 0.5F B/P            CCN000004500000004500FN00000000020221101000004500NNM   20220822103216    1W    00000150000000674000000000032P8    YIYTM   000000000000YT329033
BI00B32P8    TAPAW-2112     20221012180077039A8              AVSS 0.5F B/P            CCN000019500000019500FN00000000020221101000019500NNM   20220822103216    1W    00000150000000674000000000032P8    YIYTM   000000000000YT429064
BI00B32P8    TAPAW-2113     20221019180077039A8              AVSS 0.5F B/P            CCN000019500000019500FN00000000020221101000019500NNM   20220822103216    1W    00000150000000674000000000032P8    YIYTM   000000000000YT12A089
BI00B32P8    TAPAW-2114     20221026180077039A8              AVSS 0.5F B/P            CCN000019500000019500FN00000000020221101000019500NNM   20220822103216    1W    00000150000000674000000000032P8    YIYTM   000000000000YT22A117
BI00B32P8    TAPAW-2111     2022100518007703935              AVSS 0.5F B/R            CCN000006000000006000FN00000000020221101000006000NNM   20220822103216    1W    00000150000000674000000000032P8    YIYTM   000000000000YT329034
BI00B32P8    TAPAW-2112     2022101218007703935              AVSS 0.5F B/R            CCN000004500000004500FN00000000020221101000004500NNM   20220822103216    1W    00000150000000674000000000032P8    YIYTM   000000000000YT429065
BI00B32P8    TAPAW-2113     2022101918007703935              AVSS 0.5F B/R            CCN000006000000006000FN00000000020221101000006000NNM   20220822103216    1W    00000150000000674000000000032P8    YIYTM   000000000000YT12A090
BI00B32P8    TAPAW-2114     2022102618007703935              AVSS 0.5F B/R            CCN000004500000004500FN00000000020221101000004500NNM   20220822103216    1W    00000150000000674000000000032P8    YIYTM   000000000000YT22A118
BI00B32P8    TAPAW-2112     2022101218007703934              AVSS 0.5F B/W            CCN000007500000007500FN00000000020221101000007500NNM   20220822103216    1W    00000150000000674000000000032P8    YIYTM   000000000000YT429066
BI00B32P8    TAPAW-2113     2022101918007703934              AVSS 0.5F B/W            CCN000006000000006000FN00000000020221101000006000NNM   20220822103216    1W    00000150000000674000000000032P8    YIYTM   000000000000YT12A091
BI00B32P8    TAPAW-2114     2022102618007703934              AVSS 0.5F B/W            CCN000007500000007500FN00000000020221101000007500NNM   20220822103216    1W    00000150000000674000000000032P8    YIYTM   000000000000YT22A119
BI00B32P8    TAPAW-2112     2022101218007703937              AVSS 0.5F B/Y            CCN000004500000004500FN00000000020221101000004500NNM   20220822103216    1W    00000150000000674000000000032P8    YIYTM   000000000000YT429067
BI00B32P8    TAPAW-2113     2022101918007703937              AVSS 0.5F B/Y            CCN000007500000007500FN00000000020221101000007500NNM   20220822103216    1W    00000150000000674000000000032P8    YIYTM   000000000000YT12A092
BI00B32P8    TAPAW-2114     2022102618007703937              AVSS 0.5F B/Y            CCN000007500000007500FN00000000020221101000007500NNM   20220822103216    1W    00000150000000674000000000032P8    YIYTM   000000000000YT22A120
BI00B32P8    TAPAW-2111     2022100518007703980              AVSS 0.5F BR             CCN000004500000004500FN00000000020221101000004500NNM   20220822103216    1W    00000150000000674000000000032P8    YIYTM   000000000000YT329035
BI00B32P8    TAPAW-2112     2022101218007703980              AVSS 0.5F BR             CCN000003000000003000FN00000000020221101000003000NNM   20220822103216    1W    00000150000000674000000000032P8    YIYTM   000000000000YT429068
