BI00B32DE    TT2094         20220901180D0204080              AVSSH 0.75F BR           CCN000015000000007000FN00000000020220901000007000NNM00 20220817120422    1W    00000100000000934000000000032DE    TVYEV-TV000000000000VT328077
BI00A32DE    TT209A         2022082318007704180              AVSS 1.25F BR            CCN000000800000000800FN00000000020220901000000800NNE20 20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VX228053
BI00A32DE    TT209B         2022082418007704152              AVSS 1.25F P             CCN000003200000003200FN00000000020220901000003200NNE23 20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VW128016
BI00A32DE    TT209B         2022082418007704192              AVSS 1.25F V             CCN000001600000001600FN00000000020220901000001600NNE23 20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VW128017
BI00A32DE    TT209B         20220823180D0203970              AVSSH 0.5F Y             CCN000010500000010500FN00000000020220901000010500NNE22 20220817120422    1W    00000150000000689000000000032DE    TVYEV-TV000000000000VW128009
BI00B32DE    TT2102         2022091518007704152              AVSS 1.25F P             CCN000002400000001600FN00000000020221001000001600NNM00 20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VT528078
BI00A32DE    TT2104         20220824180D0204192              AVSSH 1.25F V            CCN000003200000003200FN00000000020221001000003200NNM20 20220817120422    1W    00000080000001458000000000032DE    TVYEV-TV000000000000VT229086
BI00B32DE    @TT210A        20220908181F21031ZZ              AVSSHCS-S 1.25FX2 B/P    CCN000000400000000200FN00000000020221001000000200NNE00 20220817120422    1W    00000020000004267300000000032DE    TVYEV-TV000000000000VR428007
BI00B32DE    TT210B         2022090818007703760              AVSS 0.3F G              CCN000004000000004000FN00000000020221001000004000NNE   20220817120422    1W    00000200000000496000000000032DE    TVYEV-TV000000000000VS428004
BI00B32DE    TT210B         2022090818007703741              AVSS 0.3F GY             CCN000002000000002000FN00000000020221001000002000NNE   20220817120422    1W    00000200000000496000000000032DE    TVYEV-TV000000000000VS428005
BI00B32DE    TT210B         2022090818007703750              AVSS 0.3F R              CCN000004000000004000FN00000000020221001000004000NNE   20220817120422    1W    00000200000000496000000000032DE    TVYEV-TV000000000000VS428006
BI00B32DE    TT210B         2022090818007704190              AVSS 1.25F L             CCN000003200000003200FN00000000020221001000003200NNE   20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VS428007
BI00B32DE    TT210B         2022090818007704152              AVSS 1.25F P             CCN000003200000003200FN00000000020221001000003200NNE   20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VS428008
BI00B32DE    TT210B         2022090818007704192              AVSS 1.25F V             CCN000002400000002400FN00000000020221001000002400NNE   20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VS428009
BI00B32DE    TT210B         20220908180D0204060              AVSSH 0.75F G            CCN000004000000004000FN00000000020221001000004000NNE   20220817120422    1W    00000100000000934000000000032DE    TVYEV-TV000000000000VS428002
BI00B32DE    TT210B         20220908180D0204192              AVSSH 1.25F V            CCN000002400000002400FN00000000020221001000002400NNE   20220817120422    1W    00000080000001458000000000032DE    TVYEV-TV000000000000VS428003
BI00B32DE    @TT210B        20220908181F21031ZZ              AVSSHCS-S 1.25FX2 B/P    CCN000000200000000200FN00000000020221001000000200NNE   20220817120422    1W    00000020000004267300000000032DE    TVYEV-TV000000000000VS428001
BI00A32DE    TT2094         20220823180D0204080              AVSSH 0.75F BR           CCN000002000000002000FN00000000020220901000002000NNM28 20220817120422    1W    00000100000000934000000000032DE    TVYEV-TV000000000000VT328077
BI00B32DE    TT210C         2022091518007704180              AVSS 1.25F BR            CCN000001600000001600FN00000000020221001000001600NNE   20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VX528003
BI00B32DE    TT210C         2022091518007704140              AVSS 1.25F W             CCN000001600000001600FN00000000020221001000001600NNE   20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VX528004
BI00B32DE    @TT210C        20220915181F21002ZZ              AVSSHCS-S 0.5FX1 B       CCN000002400000002400FN00000000020221001000002400NNE   20220817120422    1W    00000040000001908400000000032DE    TVYEV-TV000000000000VX528001
BI00B32DE    @TT210C        20220915181F21031ZZ              AVSSHCS-S 1.25FX2 B/P    CCN000000200000000200FN00000000020221001000000200NNE   20220817120422    1W    00000020000004267300000000032DE    TVYEV-TV000000000000VX528002
BI00A32DE    @TT210A        20220824181F21031ZZ              AVSSHCS-S 1.25FX2 B/P    CCN000000200000000200FN00000000020221001000000200NNE20 20220817120422    1W    00000020000004267300000000032DE    TVYEV-TV000000000000VR428007
BI00A32DE    TT2102         2022082418007704152              AVSS 1.25F P             CCN000000800000000800FN00000000020221001000000800NNM20 20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VT528078
BI00A32DJ    GHT2210-1      20220819180D0204030              AVSSH 0.75F B            CCN000003000000003000FN00000000020221001000003000NNM21 20220817142015    1W    00000100000000934000000000032DJ    RBYIPLRB000000000000XH328002
BI00B32W4    4500198767     2022092018018403941              CAVS 0.5 GY              CCN000004500000004500FN00000000020220901000004500NNE   20220817135326W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OS129003
BI00B32W4    4500198717     2022100418018403791              CAVS 0.3 SB              CCN000002000000002000FN00000000020221001000002000NNE   20220817135329W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OJ329005
BI00B32W4    4500198717     2022100418018403740              CAVS 0.3 W               CCN000012000000012000FN00000000020221001000012000NNE   20220817135329W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OJ329006
BI00B32W4    4500198717     2022100418018403752              CAVS 0.3 P               CCN000004000000004000FN00000000020221001000004000NNE   20220817135329W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OJ329004
BI00B32W4    4500198717     2022100418018403760              CAVS 0.3 G               CCN000006000000006000FN00000000020221001000006000NNE   20220817135329W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OJ329002
BI00B32W4    4500198717     2022100418018403770              CAVS 0.3 Y               CCN000002000000002000FN00000000020221001000002000NNE   20220817135329W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OJ329007
BI00B32W4    4500198717     2022100418018403780              CAVS 0.3 BR              CCN000004000000004000FN00000000020221001000004000NNE   20220817135329W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OJ329001
BI00B32W4    4500198717     2022100418018403790              CAVS 0.3 L               CCN000008000000008000FN00000000020221001000008000NNE   20220817135329W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OJ329003
BI00B32W4    4500198717     2022100418018403914              CAVS 0.5 L/O             CCN000001500000001500FN00000000020221001000001500NNE   20220817135329W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OJ329012
BI00B32W4    4500198717     2022100418018403967              CAVS 0.5 G/Y             CCN000001500000001500FN00000000020221001000001500NNE   20220817135329W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OJ329009
BI00B32W4    4500198717     2022100418018403941              CAVS 0.5 GY              CCN000009000000009000FN00000000020221001000009000NNE   20220817135329W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OJ329010
BI00B32W4    4500198717     2022100418018403950              CAVS 0.5 R               CCN000010500000010500FN00000000020221001000010500NNE   20220817135329W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OJ329015
BI00B32W4    4500198717     2022100418018403951              CAVS 0.5 O               CCN000007500000007500FN00000000020221001000007500NNE   20220817135329W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OJ329013
BI00B32W4    4500198717     2022100418018403952              CAVS 0.5 P               CCN000030000000030000FN00000000020221001000030000NNE   20220817135329W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OJ329014
BI00B32W4    4500198717     2022100418018403970              CAVS 0.5 Y               CCN000022500000022500FN00000000020221001000022500NNE   20220817135329W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OJ329017
BI00B32W4    4500198717     2022100418018403980              CAVS 0.5 BR              CCN000007500000007500FN00000000020221001000007500NNE   20220817135329W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OJ329008
BI00B32W4    4500198717     2022100418018403990              CAVS 0.5 L               CCN000034500000034500FN00000000020221001000034500NNE   20220817135329W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OJ329011
BI00B32W4    4500198717     2022100418018403992              CAVS 0.5 V               CCN000003000000003000FN00000000020221001000003000NNE   20220817135329W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OJ329016
BI00B32W4    4500198717     2022100418018404030              CAVS 0.85 B              CCN000023000000023000FN00000000020221001000023000NNE   20220817135329W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OJ329018
BI00B32W4    4500198717     2022100418018404040              CAVS 0.85 W              CCN000014000000014000FN00000000020221001000014000NNE   20220817135329W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OJ329027
BI00B32W4    4500198717     2022100418018404041              CAVS 0.85 GY             CCN000030000000030000FN00000000020221001000030000NNE   20220817135329W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OJ329021
BI00B32W4    4500198717     2022100418018404050              CAVS 0.85 R              CCN000036000000036000FN00000000020221001000036000NNE   20220817135329W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OJ329024
BI00B32W4    4500198717     2022100418018404051              CAVS 0.85 O              CCN000010000000010000FN00000000020221001000010000NNE   20220817135329W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OJ329022
BI00B32W4    4500198717     2022100418018404052              CAVS 0.85 P              CCN000009000000009000FN00000000020221001000009000NNE   20220817135329W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OJ329023
BI00B32W4    4500198717     2022100418018404060              CAVS 0.85 G              CCN000012000000012000FN00000000020221001000012000NNE   20220817135329W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OJ329020
BI00B32W4    4500198717     2022100418018404070              CAVS 0.85 Y              CCN000016000000016000FN00000000020221001000016000NNE   20220817135329W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OJ329028
BI00B32W4    4500198717     2022100418018404080              CAVS 0.85 BR             CCN000011000000011000FN00000000020221001000011000NNE   20220817135329W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OJ329019
BI00B32W4    4500198717     2022100418018404091              CAVS 0.85 SB             CCN000009000000009000FN00000000020221001000009000NNE   20220817135329W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OJ329025
BI00B32W4    4500198717     2022100418018404092              CAVS 0.85 V              CCN000005000000005000FN00000000020221001000005000NNE   20220817135329W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OJ329026
BI00B32W4    4500198721     2022101118007704260              AVSS 2F G                CCN000000500000000500FN00000000020221001000000500NNE   20220817135330W41 1W    00000050000002126400000000032W41   HJYHK-J 000000000000OU429002
BI00B32W4    4500198721     2022101118018403791              CAVS 0.3 SB              CCN000006000000006000FN00000000020221001000006000NNE   20220817135330W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OU429009
BI00B32W4    4500198721     2022101118018403740              CAVS 0.3 W               CCN000024000000024000FN00000000020221001000024000NNE   20220817135330W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OU429011
BI00B32W4    4500198721     2022101118018403730              CAVS 0.3 B               CCN000018000000018000FN00000000020221001000018000NNE   20220817135330W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OU429003
BI00B32W4    4500198721     2022101118018403750              CAVS 0.3 R               CCN000006000000006000FN00000000020221001000006000NNE   20220817135330W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OU429008
BI00B32W4    4500198721     2022101118018403752              CAVS 0.3 P               CCN000008000000008000FN00000000020221001000008000NNE   20220817135330W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OU429007
BI00B32W4    4500198721     2022101118018403760              CAVS 0.3 G               CCN000020000000020000FN00000000020221001000020000NNE   20220817135330W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OU429005
BI00B32W4    4500198721     2022101118018403770              CAVS 0.3 Y               CCN000008000000008000FN00000000020221001000008000NNE   20220817135330W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OU429012
BI00B32W4    4500198721     2022101118018403780              CAVS 0.3 BR              CCN000018000000018000FN00000000020221001000018000NNE   20220817135330W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OU429004
BI00B32W4    4500198721     2022101118018403790              CAVS 0.3 L               CCN000016000000016000FN00000000020221001000016000NNE   20220817135330W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OU429006
BI00B32W4    4500198721     2022101118018403792              CAVS 0.3 V               CCN000006000000006000FN00000000020221001000006000NNE   20220817135330W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OU429010
BI00B32W4    4500198721     2022101118018403941              CAVS 0.5 GY              CCN000010500000010500FN00000000020221001000010500NNE   20220817135330W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OU429014
BI00B32W4    4500198721     2022101118018403950              CAVS 0.5 R               CCN000016500000016500FN00000000020221001000016500NNE   20220817135330W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OU429018
BI00B32W4    4500198721     2022101118018403951              CAVS 0.5 O               CCN000025500000025500FN00000000020221001000025500NNE   20220817135330W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OU429016
BI00B32W4    4500198721     2022101118018403952              CAVS 0.5 P               CCN000055500000055500FN00000000020221001000055500NNE   20220817135330W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OU429017
BI00B32W4    4500198721     2022101118018403970              CAVS 0.5 Y               CCN000039000000039000FN00000000020221001000039000NNE   20220817135330W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OU429020
BI00B32W4    4500198721     2022101118018403980              CAVS 0.5 BR              CCN000015000000015000FN00000000020221001000015000NNE   20220817135330W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OU429013
BI00B32W4    4500198721     2022101118018403990              CAVS 0.5 L               CCN000060000000060000FN00000000020221001000060000NNE   20220817135330W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OU429015
BI00B32W4    4500198721     2022101118018403992              CAVS 0.5 V               CCN000016500000016500FN00000000020221001000016500NNE   20220817135330W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OU429019
BI00B32W4    4500198721     2022101118018404030              CAVS 0.85 B              CCN000053000000053000FN00000000020221001000053000NNE   20220817135330W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OU429021
BI00B32W4    4500198721     2022101118018404040              CAVS 0.85 W              CCN000036000000036000FN00000000020221001000036000NNE   20220817135330W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OU429032
BI00B32W4    4500198721     2022101118018404041              CAVS 0.85 GY             CCN000073000000073000FN00000000020221001000073000NNE   20220817135330W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OU429024
BI00B32W4    4500198721     2022101118018404050              CAVS 0.85 R              CCN000086000000086000FN00000000020221001000086000NNE   20220817135330W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OU429029
BI00B32W4    4500198721     2022101118018404051              CAVS 0.85 O              CCN000025000000025000FN00000000020221001000025000NNE   20220817135330W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OU429027
BI00B32W4    4500198721     2022101118018404052              CAVS 0.85 P              CCN000022000000022000FN00000000020221001000022000NNE   20220817135330W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OU429028
BI00B32W4    4500198721     2022101118018404060              CAVS 0.85 G              CCN000030000000030000FN00000000020221001000030000NNE   20220817135330W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OU429023
BI00B32W4    4500198721     2022101118018404061              CAVS 0.85 LG             CCN000003000000003000FN00000000020221001000003000NNE   20220817135330W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OU429026
BI00B32W4    4500198721     2022101118018404070              CAVS 0.85 Y              CCN000051000000051000FN00000000020221001000051000NNE   20220817135330W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OU429033
BI00B32W4    4500198721     2022101118018404080              CAVS 0.85 BR             CCN000023000000023000FN00000000020221001000023000NNE   20220817135330W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OU429022
BI00B32W4    4500198721     2022101118018404090              CAVS 0.85 L              CCN000004000000004000FN00000000020221001000004000NNE   20220817135330W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OU429025
BI00B32W4    4500198721     2022101118018404091              CAVS 0.85 SB             CCN000035000000035000FN00000000020221001000035000NNE   20220817135330W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OU429030
BI00B32W4    4500198721     2022101118018404092              CAVS 0.85 V              CCN000016000000016000FN00000000020221001000016000NNE   20220817135330W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OU429031
BI00B32W4    @4500198721    20221011181B32116Z6              AVSSCS 0.3FX2 DGY/V      CCN000001050000001050FN00000000020221001000001050NNE   20220817135327W41 1W    00000035000002276000000000032W41   HJYHK-J 000000000000OU429001
BI00B32W4    4500198740     2022100418018403791              CAVS 0.3 SB              CCN000018000000018000FN00000000020221001000018000NNE   20220817135330W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OI329016
BI00B32W4    4500198740     2022100418018403740              CAVS 0.3 W               CCN000010000000010000FN00000000020221001000010000NNE   20220817135330W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OI329018
BI00B32W4    4500198740     2022100418018403730              CAVS 0.3 B               CCN000016000000016000FN00000000020221001000016000NNE   20220817135330W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OI329008
BI00B32W4    4500198740     2022100418018403750              CAVS 0.3 R               CCN000022000000022000FN00000000020221001000022000NNE   20220817135330W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OI329015
BI00B32W4    4500198740     2022100418018403760              CAVS 0.3 G               CCN000018000000018000FN00000000020221001000018000NNE   20220817135330W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OI329009
